"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48124","deletedentitysearchTest","","2026-01-22","passed","2026-01-22","","deletedentitysearchTest.spec.js","",""
"","44300","exportreportdailymailTest","","2026-01-22","passed","2026-01-22","","exportreportdailymailTest.spec.js","",""
"","46280","exportbulkuploadedfileTest","","2026-01-22","passed","2026-01-22","","exportbulkuploadedfileTest.spec.js","",""
"","53740","livestreamingsearchTest","","2026-01-22","passed","2026-01-22","","livestreamingsearchTest.spec.js","",""
"","36956","exportreporthandgastureTest","","2026-01-22","passed","2026-01-22","","exportreporthandgastureTest.spec.js","",""
"","74332","globalsearhloginattemptsTest","","2026-01-22","passed","2026-01-22","","globalsearhloginattemptsTest.spec.js","",""
"","34779","editbatchschedulingTest","","2026-01-22","failed","2026-01-22","","editbatchschedulingTest.spec.js","",""
"","56106","nsfwsearchTest","","2026-01-22","passed","2026-01-22","","nsfwsearchTest.spec.js","",""
"","35199","exportreporttotaluniqueloginindisuccessTest","","2026-01-22","passed","2026-01-22","","exportreporttotaluniqueloginindisuccessTest.spec.js","",""
"","33886","exportreportexmptedemployeeTest","","2026-01-22","passed","2026-01-22","","exportreportexmptedemployeeTest.spec.js","",""
"","40854","filterchipondemandmediavideoTest","","2026-01-22","passed","2026-01-22","","filterchipondemandmediavideoTest.spec.js","",""
"","42631","exportbulkuploadsamplefileTest","","2026-01-22","passed","2026-01-22","","exportbulkuploadsamplefileTest.spec.js","",""
"","36099","exportreportmonthlymailTest","","2026-01-22","passed","2026-01-22","","exportreportdeactivatedemployeeTest.spec.js","",""
"","103410","filterchipretainentityTest","","2026-01-22","failed","2026-01-22","","filterchipretainentityTest.spec.js","",""
"","37803","filterchipondemandmedianoiseTest","","2026-01-22","passed","2026-01-22","","filterchipondemandmedianoiseTest.spec.js","",""
"","36682","exportreportsuspiciousimageTest","","2026-01-22","passed","2026-01-22","","exportreportsuspiciousimageTest.spec.js","",""
"","29611","bulkuploadsearchTest","","2026-01-22","passed","2026-01-22","","bulkuploadsearchTest.spec.js","",""
"","38791","exportreporttopfivefailedTest","","2026-01-22","passed","2026-01-22","","exportreporttopfivefailedTest.spec.js","",""
"","112863","utalitysettingsnoiserecordingTest","","2026-01-22","failed","2026-01-22","","utalitysettingsnoiserecordingTest.spec.js","",""
"","58278","batchschedulingmonthalymailTest","","2026-01-22","passed","2026-01-22","","batchschedulingmonthalymailTest.spec.js","",""
"","41689","filterchipmanageemolyeeTest","","2026-01-22","passed","2026-01-22","","filterchipmanageemolyeeTest.spec.js","",""
"","55136","screenshotcaptureTest","","2026-01-22","passed","2026-01-22","","screenshotcaptureTest.spec.js","",""
"","36665","exportreportwdsyncmanagerTest","","2026-01-22","passed","2026-01-22","","exportreportwdsyncmanagerTest.spec.js","",""
"","28505","exportreportglobalsearchseniormanagerTest","","2026-01-22","failed","2026-01-22","","exportreportglobalsearchseniormanagerTest.spec.js","",""
"","33802","activitylogsearchTest","","2026-01-22","passed","2026-01-22","","activitylogsearchTest.spec.js","",""
"","31442","exportreportondemandmediavideoTest","","2026-01-22","passed","2026-01-22","","exportreportondemandmediavideoTest.spec.js","",""
"","42969","filterchipsuspiciousactivityTest","","2026-01-22","passed","2026-01-22","","filterchipsuspiciousactivityTest.spec.js","",""
"","33506","exportreporttotaluniqueloginTest","","2026-01-22","passed","2026-01-22","","exportreporttotaluniqueloginTest.spec.js","",""
"","47656","exportreportondemandmediaaudioTest","","2026-01-22","passed","2026-01-22","","exportreportondemandmediaaudioTest.spec.js","",""
"","29920","exportreportmanageuserTest","","2026-01-22","passed","2026-01-22","","exportreportmanageuserTest.spec.js","",""
"","98029","noisedeductionsearchTest","","2026-01-22","passed","2026-01-22","","noisedeductionsearchTest.spec.js","",""
"","36868","handgesturesearchTest","","2026-01-22","failed","2026-01-22","","handgesturesearchTest.spec.js","",""
"","117405","generalsettingsimageTest","","2026-01-22","failed","2026-01-22","","generalsettingsimageTest.spec.js","",""
"","32794","exportreportondemandmediaimageTest","","2026-01-22","passed","2026-01-22","","exportreportondemandmediaimageTest.spec.js","",""
"","67820","useractivatedeactivateTest","","2026-01-22","passed","2026-01-22","","useractivatedeactivateTest.spec.js","",""
"","30297","filterchipemotiondetectionTest","","2026-01-22","passed","2026-01-22","","filterchipemotiondetectionTest.spec.js","",""
"","31078","emotiondetectionimageviewTest","","2026-01-22","failed","2026-01-22","","emotiondetectionimageviewTest.spec.js","",""
"","52181","retainnoiseTest","","2026-01-22","passed","2026-01-22","","retainnoiseTest.spec.js","",""
"","0","videoondemandsearchTest","","2026-01-22","skipped","2026-01-22","","videoondemandsearchTest.spec.js","",""
"","51580","activitylogsactionTest","","2026-01-22","passed","2026-01-22","","activitylogsactionTest.spec.js","",""
"","54129","manageusersearchTest","","2026-01-22","failed","2026-01-22","","manageusersearchTest.spec.js","",""
"","30667","deletebatchschedulingTest","","2026-01-22","failed","2026-01-22","","deletebatchschedulingTest.spec.js","",""
"","37568","filterchipexcusedentityTest","","2026-01-22","failed","2026-01-22","","filterchipexcusedentityTest.spec.js","",""
"","25357","audittrailsettingsothersTest","","2026-01-22","passed","2026-01-22","","audittrailsettingsothersTest.spec.js","",""
"","40721","exportreportconsolidatedexcusedimageTest","","2026-01-22","passed","2026-01-22","","exportreportconsolidatedexcusedimageTest.spec.js","",""
"","29032","livestreamingTest","","2026-01-22","passed","2026-01-22","","livestreamingTest.spec.js","",""
"","32828","exportreportcosolidatedretainvideoTest","","2026-01-22","passed","2026-01-22","","exportreportcosolidatedretainvideoTest.spec.js","",""
"","38387","exportreportconsolidatedexcusedvideoTest","","2026-01-22","passed","2026-01-22","","exportreportconsolidatedexcusedvideoTest.spec.js","",""
"","27506","bulkuploadTest","","2026-01-22","failed","2026-01-22","","bulkuploadTest.spec.js","",""
"","45772","exportreportlivestreamingTest","","2026-01-22","passed","2026-01-22","","exportreportlivestreamingTest.spec.js","",""
"","132236","suspiciousvideoTest","","2026-01-22","failed","2026-01-22","","suspiciousvideoTest.spec.js","",""
"","66885","globalsearchtotalexmptedTest","","2026-01-22","passed","2026-01-22","","globalsearchtotalexmptedTest.spec.js","",""
"","133989","filterchiputalitystatsTest","","2026-01-22","failed","2026-01-22","","filterchiputalitystatsTest.spec.js","",""
"","54824","deleteimageTest","","2026-01-22","passed","2026-01-22","","deleteimageTest.spec.js","",""
"","63107","globalsearhandgestureTest","","2026-01-22","passed","2026-01-22","","globalsearhandgestureTest.spec.js","",""
"","75483","utalitysettingsvideorecordingTest","","2026-01-22","failed","2026-01-22","","utalitysettingsvideorecordingTest.spec.js","",""
"","49041","globalsearchsuspiciousactivityTest","","2026-01-22","passed","2026-01-22","","globalsearchsuspiciousactivityTest.spec.js","",""
"","33771","exportreportdeleteentitiesimageconsolidatedTest","","2026-01-22","passed","2026-01-22","","exportreportdeleteentitiesimageconsolidatedTest.spec.js","",""
"","37849","exportreporttotalidealemployeeTest","","2026-01-22","passed","2026-01-22","","exportreporttotalidealemployeeTest.spec.js","",""
"","44153","Example Login Test","","2026-01-22","failed","2026-01-22","","login.spec.js","",""
"","26687","batchschedulingbucketcleanerTest","","2026-01-22","failed","2026-01-22","","batchschedulingbucketcleanerTest.spec.js","",""
"","108646","generalsettingsothersTest","","2026-01-22","failed","2026-01-22","","generalsettingsothersTest.spec.js","",""
"","158400","ondemandmediaimageTest","","2026-01-22","failed","2026-01-22","","ondemandmediaimageTest.spec.js","",""
"","36297","filterchiphandgestureTest","","2026-01-22","passed","2026-01-22","","filterchiphandgestureTest.spec.js","",""
"","28342","exportreportscreenlockstatsTest","","2026-01-22","passed","2026-01-22","","exportreportscreenlockstatsTest.spec.js","",""
"","38607","activitylogsTest","","2026-01-22","passed","2026-01-22","","activitylogsTest.spec.js","",""
"","71155","globalsearchemotionTest","","2026-01-22","passed","2026-01-22","","globalsearchemotionTest.spec.js","",""
"","496","utilitystatssearchTest","","2026-01-22","failed","2026-01-22","","utilitystatssearchTest.spec.js","",""
"","62947","autosyncwatchersearchTest","","2026-01-22","passed","2026-01-22","","autosyncwatchersearchTest.spec.js","",""
"","91912","generalsettingsaudioTest","","2026-01-22","failed","2026-01-22","","generalsettingsaudioTest.spec.js","",""
"","52371","filterchipautosyncTest","","2026-01-22","passed","2026-01-22","","filterchipautosyncTest.spec.js","",""
"","45891","globalsearhscreenlockstatsTest","","2026-01-22","passed","2026-01-22","","globalsearhscreenlockstatsTest.spec.js","",""
"","37755","exportreportindiexcusedimageTest","","2026-01-22","passed","2026-01-22","","exportreportindiexcusedimageTest.spec.js","",""
"","34009","exportreportindiexcusedvideoTest","","2026-01-22","failed","2026-01-22","","exportreportindiexcusedvideoTest.spec.js","",""
"","32685","exportreportcosolidatedretainimageTest","","2026-01-22","passed","2026-01-22","","exportreportcosolidatedretainimageTest.spec.js","",""
"","57891","exportreportmonthlymailTest","","2026-01-22","passed","2026-01-22","","exportreportmonthlymailTest.spec.js","",""
"","32182","exportreporttotalemployeeTest","","2026-01-22","passed","2026-01-22","","exportreporttotalemployeeTest.spec.js","",""
"","50334","emotiondetectionsearchTest","","2026-01-22","passed","2026-01-22","","emotiondetectionsearchTest.spec.js","",""
"","32158","activatedeactivatebatchschedulingTest","","2026-01-22","passed","2026-01-22","","activatedeactivatebatchschedulingTest.spec.js","",""
"","42311","exportreportshiftmanagerTest","","2026-01-22","passed","2026-01-22","","exportreportshiftmanagerTest.spec.js","",""
"","44522","batchschedulingsearchTest","","2026-01-22","failed","2026-01-22","","batchschedulingsearchTest.spec.js","",""
"","55109","retainentitysearchTest","","2026-01-22","passed","2026-01-22","","retainentitysearchTest.spec.js","",""
"","36512","filterchipactivitylogsTest","","2026-01-22","passed","2026-01-22","","filterchipactivitylogsTest.spec.js","",""
"","36910","totalemployeesearchTest","","2026-01-22","passed","2026-01-22","","totalemployeesearchTest.spec.js","",""
"","44364","releaseTest","","2026-01-22","passed","2026-01-22","","releaseTest.spec.js","",""
"","64306","globalsearchnoiseactivityTest","","2026-01-22","passed","2026-01-22","","globalsearchnoiseactivityTest.spec.js","",""
"","49156","suspiciousactivitysearchTest","","2026-01-22","passed","2026-01-22","","suspiciousactivitiessearchTest.spec.js","",""
"","53161","manageemployeesearchTest","","2026-01-22","passed","2026-01-22","","manageemoloyeesearchTest.spec.js","",""
"","57558","exportreportindretainnoiseTest","","2026-01-22","failed","2026-01-22","","exportreportindretainnoiseTest.spec.js","",""
"","41279","excusedvideoTest","","2026-01-22","passed","2026-01-22","","excusedvideoTest.spec.js","",""
"","0","viewbatchschedulingTest","","2026-01-22","skipped","2026-01-22","","viewbatchschedulingTest.spec.js","",""
"","42228","exportreportbatchschedulingTest","","2026-01-22","passed","2026-01-22","","exportreportbatchschedulingTest.spec.js","",""
"","44783","exportreportindretainvideoTest","","2026-01-22","passed","2026-01-22","","exportreportindretainvideoTest.spec.js","",""
"","47578","exportreportnsfwactivityTest","","2026-01-22","passed","2026-01-22","","exportreportnsfwactivityTest.spec.js","",""
"","32585","exportreportindretainimageTest","","2026-01-22","passed","2026-01-22","","exportreportindretainimageTest.spec.js","",""
"","51018","batchschedulingwdsyncmanagerTest","","2026-01-22","passed","2026-01-22","","batchschedulingwdsyncmanagerTest.spec.js","",""
"","49829","filterchiplivestreamingTest","","2026-01-22","failed","2026-01-22","","filterchiplivestreamingTest.spec.js","",""
"","54710","activitylogssettingsTest","","2026-01-22","passed","2026-01-22","","activitylogssettingsTest.spec.js","",""
"","75691","generalsettingsvideoTest","","2026-01-22","failed","2026-01-22","","generalsettingsvideoTest.spec.js","",""
"","32364","exportreportmanageemployeeTest","","2026-01-22","passed","2026-01-22","","exportreportmanageemployeeTest.spec.js","",""
"","45101","exemptedemployeesearchTest","","2026-01-22","passed","2026-01-22","","exemptedemployeesearchTest.spec.js","",""
"","85579","globalsearchretainedentityTest","","2026-01-22","passed","2026-01-22","","globalsearchretainedentityTest.spec.js","",""
"","41099","filterchipnsfwactivityTest","","2026-01-22","failed","2026-01-22","","filterchipnsfwactivityTest.spec.js","",""
"","26024","globalsearcunsuspiciousimagecountTest","","2026-01-22","passed","2026-01-22","","globalsearcunsuspiciousimagecountTest.spec.js","",""
"","81498","totaluniqueloginsearchTest","","2026-01-22","passed","2026-01-22","","totaluniqueloginsearchTest.spec.js","",""
"","50040","manageuserTest","","2026-01-22","passed","2026-01-22","","manageuserTest.spec.js","",""
"","32675","deleteretainvideoTest","","2026-01-22","failed","2026-01-22","","deleteretainvideoTest.spec.js","",""
"","48560","filterchipmanageuserTest","","2026-01-22","passed","2026-01-22","","filterchipmanageuserTest.spec.js","",""
"","41824","exportreportglobalsearchemployeeTest","","2026-01-22","passed","2026-01-22","","exportreportglobalsearchemployeeTest.spec.js","",""
"","45140","batchschedulingdailymailTest","","2026-01-22","passed","2026-01-22","","batchschedulingdailymailTest.spec.js","",""
"","87501","manageemployeeTest","","2026-01-22","passed","2026-01-22","","manageemployeeTest.spec.js","",""
"","28751","filterchipexmptedemployeeTest","","2026-01-22","passed","2026-01-22","","filterchipexmptedemployeeTest.spec.js","",""
"","39686","excusedimageTest","","2026-01-22","passed","2026-01-22","","excusedimageTest.spec.js","",""
"","28930","filterchipdeleteentityTest","","2026-01-22","passed","2026-01-22","","filterchipdeleteentityTest.spec.js","",""
"","35303","exportreportemotiondeductionTest","","2026-01-22","passed","2026-01-22","","exportreportemotiondeductionTest.spec.js","",""
"","33132","exportreportdeleteentitiesimageindiTest","","2026-01-22","passed","2026-01-22","","exportreportdeleteentitiesimageindiTest.spec.js","",""
"","44634","employeeexmpresumetedTest","","2026-01-22","passed","2026-01-22","","employeeexmpresumetedTest.spec.js","",""
"","46552","exportreportlivestreamingindiTest","","2026-01-22","passed","2026-01-22","","exportreportlivestreamingindiTest.spec.js","",""
"","49874","filterchipondemandmediaimageTest","","2026-01-22","passed","2026-01-22","","filterchipondemandmediaimageTest.spec.js","",""
"","48531","filterchipnoisedetectionTest","","2026-01-22","failed","2026-01-22","","filterchipnoisedetectionTest.spec.js","",""
"","41306","deleteretainimageTest","","2026-01-22","passed","2026-01-22","","deleteretainimageTest.spec.js","",""
"","110624","utalitysettingsimagecaptureTest","","2026-01-22","failed","2026-01-22","","utalitysettingsimagecaptureTest.spec.js","",""
"","46855","filterchiptotalemployeeTest","","2026-01-22","passed","2026-01-22","","filterchiptotalemployeeTest.spec.js","",""
"","46902","globalsearchbyempidTest","","2026-01-22","failed","2026-01-22","","globalsearchbyempidTest.spec.js","",""
"","75231","retainvideoTest","","2026-01-22","passed","2026-01-22","","retainvideoTest.spec.js","",""
"","46090","exportreportglobalsearchrepotingmanagerTest","","2026-01-22","failed","2026-01-22","","exportreportglobalsearchrepotingmanagerTest.spec.js","",""
"","31061","exportreportcosolidatedretainnoiseTest","","2026-01-22","passed","2026-01-22","","exportreportcosolidatedretainnoiseTest.spec.js","",""
"","35722","batchschedulingshiftmanagerTest","","2026-01-22","passed","2026-01-22","","batchschedulingshiftmanagerTest.spec.js","",""
"","56368","excusedntitysearchTest","","2026-01-22","passed","2026-01-22","","excusedentitysearchTest.spec.js","",""
"","35798","exportreportautosyncutilityTest","","2026-01-22","passed","2026-01-22","","exportreportautosyncutilityTest.spec.js","",""
"","34777","exportreportsuspiciousvideoTest","","2026-01-22","passed","2026-01-22","","exportreportsuspiciousvideoTest.spec.js","",""
"","33447","exportreportfdutilityTest","","2026-01-22","passed","2026-01-22","","exportreportfdutilityTest.spec.js","",""
"","49571","filterchibulkuploadTest","","2026-01-22","passed","2026-01-22","","filterchibulkuploadTest.spec.js","",""
"","46874","aisettingsTest","","2026-01-22","passed","2026-01-22","","aisettingsTest.spec.js","",""
"","37031","exportreportdeleteentitiesvideoindiTest","","2026-01-22","passed","2026-01-22","","exportreportdeleteentitiesvideoindiTest.spec.js","",""
"","47701","employeeactivatedeactivateTest","","2026-01-22","passed","2026-01-22","","employeeactivatedeactivateTest.spec.js","",""
"","33134","exportreportdeleteentitiesvideoconsolidatedTest","","2026-01-22","passed","2026-01-22","","exportreportdeleteentitiesvideoconsolidatedTest.spec.js","",""
"","36725","editemployeeTest","","2026-01-22","failed","2026-01-22","","editemployeeTest.spec.js","",""
"","130960","utalitysettingslivestreamingTest","","2026-01-22","broken","2026-01-22","","utalitysettingslivestreamingTest.spec.js","",""
"","48893","retainimagesTest","","2026-01-22","passed","2026-01-22","","retainimagesTest.spec.js","",""
"","78286","globalsearchondemandmediaTest","","2026-01-22","passed","2026-01-22","","globalsearchondemandmediaTest.spec.js","",""
"","24499","batchschedulingdeactivatedemployeeTest","","2026-01-22","failed","2026-01-22","","batchschedulingdeactivatedemployeeTest.spec.js","",""
"","34190","exportreporttotaluniqueloginindifailedTest","","2026-01-22","passed","2026-01-22","","exportreporttotaluniqueloginindifailedTest.spec.js","",""
"","109289","filterchiptotaluniqueloginTest","","2026-01-22","passed","2026-01-22","","filterchiptotaluniqueloginTest.spec.js","",""
"","35099","audittrailsettingsTest","","2026-01-22","passed","2026-01-22","","audittrailsettingsTest.spec.js","",""
"","50608","exportreportnoisedeductionTest","","2026-01-22","passed","2026-01-22","","exportreportnoisedeductionTest.spec.js","",""
"","72248","filterchipbatchschedulingTest","","2026-01-22","passed","2026-01-22","","filterchipbatchschedulingTest.spec.js","",""
"","62987","imageondemandsearchTest","","2026-01-22","passed","2026-01-22","","imageondemandsearchTest.spec.js","",""
"","35885","employeeexmptedTest","","2026-01-22","passed","2026-01-22","","employeeexmptedTest.spec.js","",""
